Product ID,Variant ID,Handle,Title,Original Price,Discounted Price,Discount %,Category
7333440225481,40424733966537,kraven-the-hunter-steelbook-2024-4k-ultra-hd,Kraven The Hunter (Steelbook),75.98,75.98,0,MOVIES
7333440422089,40424734163145,kraven-the-hunter-2024-4k-ultra-hd,Kraven The Hunter,52.98,52.98,0,MOVIES
7333440520393,40424734261449,kraven-the-hunter-2024-dvd,Kraven The Hunter,29.98,29.98,0,MOVIES
7333440323785,40424734064841,kraven-the-hunter-2024-blu-ray,Kraven The Hunter,36.98,36.98,0,MOVIES
7333440356553,40424734097609,gladiator-ii-steelbook-2024-4k-ultra-hd-blu-ray,Gladiator II (Steelbook),94.98,94.98,0,MOVIES
7333440487625,40424734228681,gladiator-ii-2024-4k-ultra-hd,Gladiator II,52.98,52.98,0,MOVIES
7333440454857,40424734195913,gladiator-ii-2024-blu-ray,Gladiator II,36.98,18.49,50.0,MOVIES
7333440291017,40424734032073,gladiator-ii-2024-dvd,Gladiator II,29.98,29.98,0,MOVIES
7333433540809,40424727216329,vinyl-mars-bruno-unorthodox-jukebox-limited-neon-coral-vinyl-lp-colour-may-vary,Unorthodox Jukebox (Limited Neon Coral Vinyl),70.99,70.99,0,MUSIC
7333433508041,40424727183561,vinyl-skyhooks-living-in-the-70s-50th-anniversary-2024-remaster-vinyl-lp,Living In The 70's (50th Anniversary 2024 Remaster) (Vinyl),44.99,44.99,0,MUSIC
7333433573577,40424727249097,vinyl-martinez-melanie-k-12-limited-pink-clear-vinyl-repress-lp-colour-may-vary,K-12 (Limited Pink / Clear Vinyl Repress),95.99,95.99,0,MUSIC
7333433442505,40424727118025,vinyl-combs-luke-fathers-sons-nz-tour-clear-with-yellow-green-splatter-vinyl-lp-colour-may-vary,Fathers & Sons (NZ Tour Clear With Yellow/Green Splatter Vinyl),97.99,97.99,0,MUSIC
